Territorialidades,IDHM 2000,IDHM 2010,IDHM Renda 2000,IDHM Renda 2010,IDHM Longevidade 2000,IDHM Longevidade 2010,IDHM Educação 2000,IDHM Educação 2010,Subíndice de frequência escolar - IDHM Educação 2000,Subíndice de frequência escolar - IDHM Educação 2010,Subíndice de escolaridade - IDHM Educação 2000,Subíndice de escolaridade - IDHM Educação 2010,Renda per capita 2012,Renda per capita 2013,Renda per capita 2014,Renda per capita 2015,Subíndice de escolaridade - IDHM Educação 2012,Subíndice de escolaridade - IDHM Educação 2013,Subíndice de escolaridade - IDHM Educação 2014,Subíndice de escolaridade - IDHM Educação 2015,Subíndice de frequência escolar - IDHM Educação 2012,Subíndice de frequência escolar - IDHM Educação 2013,Subíndice de frequência escolar - IDHM Educação 2014,Subíndice de frequência escolar - IDHM Educação 2015,IDHM Educação 2012,IDHM Educação 2013,IDHM Educação 2014,IDHM Educação 2015,IDHM Longevidade 2012,IDHM Longevidade 2013,IDHM Longevidade 2014,IDHM Longevidade 2015,IDHM Renda 2012,IDHM Renda 2013,IDHM Renda 2014,IDHM Renda 2015,IDHM 2012,IDHM 2013,IDHM 2014,IDHM 2015,Renda per capita 2000,Renda per capita 2010,Desagregação HOMEM IDHM Censo,Desagregação HOMEM IDHM Censo,Desagregação HOMEM IDHM Renda Censo,Desagregação HOMEM IDHM Renda Censo,Desagregação HOMEM IDHM Longevidade Censo,Desagregação HOMEM IDHM Longevidade Censo,Desagregação HOMEM IDHM Educação Censo,Desagregação HOMEM IDHM Educação Censo,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação Censo,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação Censo,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação Censo,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação Censo,Desagregação HOMEM Renda per capita PNAD,Desagregação HOMEM Renda per capita PNAD,Desagregação HOMEM Renda per capita PNAD,Desagregação HOMEM Renda per capita PNAD,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação PNAD,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação PNAD,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação PNAD,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação PNAD,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação HOMEM IDHM Educação PNAD,Desagregação HOMEM IDHM Educação PNAD,Desagregação HOMEM IDHM Educação PNAD,Desagregação HOMEM IDHM Educação PNAD,Desagregação HOMEM IDHM Longevidade PNAD,Desagregação HOMEM IDHM Longevidade PNAD,Desagregação HOMEM IDHM Longevidade PNAD,Desagregação HOMEM IDHM Longevidade PNAD,Desagregação HOMEM IDHM Renda PNAD,Desagregação HOMEM IDHM Renda PNAD,Desagregação HOMEM IDHM Renda PNAD,Desagregação HOMEM IDHM Renda PNAD,Desagregação HOMEM IDHM PNAD,Desagregação HOMEM IDHM PNAD,Desagregação HOMEM IDHM PNAD,Desagregação HOMEM IDHM PNAD,Desagregação HOMEM Renda per capita Censo,Desagregação HOMEM Renda per capita Censo,Desagregação MULHER IDHM Censo,Desagregação MULHER IDHM Censo,Desagregação MULHER IDHM Renda Censo,Desagregação MULHER IDHM Renda Censo,Desagregação MULHER IDHM Longevidade Censo,Desagregação MULHER IDHM Longevidade Censo,Desagregação MULHER IDHM Educação Censo,Desagregação MULHER IDHM Educação Censo,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação Censo,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação Censo,Desagregação MULHER Subíndice de escolaridade - IDHM Educação Censo,Desagregação MULHER Subíndice de escolaridade - IDHM Educação Censo,Desagregação MULHER Renda per capita PNAD,Desagregação MULHER Renda per capita PNAD,Desagregação MULHER Renda per capita PNAD,Desagregação MULHER Renda per capita PNAD,Desagregação MULHER Subíndice de escolaridade - IDHM Educação PNAD,Desagregação MULHER Subíndice de escolaridade - IDHM Educação PNAD,Desagregação MULHER Subíndice de escolaridade - IDHM Educação PNAD,Desagregação MULHER Subíndice de escolaridade - IDHM Educação PNAD,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação MULHER IDHM Educação PNAD,Desagregação MULHER IDHM Educação PNAD,Desagregação MULHER IDHM Educação PNAD,Desagregação MULHER IDHM Educação PNAD,Desagregação MULHER IDHM Longevidade PNAD,Desagregação MULHER IDHM Longevidade PNAD,Desagregação MULHER IDHM Longevidade PNAD,Desagregação MULHER IDHM Longevidade PNAD,Desagregação MULHER IDHM Renda PNAD,Desagregação MULHER IDHM Renda PNAD,Desagregação MULHER IDHM Renda PNAD,Desagregação MULHER IDHM Renda PNAD,Desagregação MULHER IDHM PNAD,Desagregação MULHER IDHM PNAD,Desagregação MULHER IDHM PNAD,Desagregação MULHER IDHM PNAD,Desagregação MULHER Renda per capita Censo,Desagregação MULHER Renda per capita Censo
Acreúna (GO),0.571,0.686,0.665,0.71,0.783,0.822,0.358,0.553,0.425,0.652,0.255,0.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.67,664.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Açucena (MG),0.443,0.61,0.501,0.595,0.757,0.844,0.229,0.451,0.292,0.582,0.141,0.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.29,325.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Açu (RN),0.536,0.661,0.571,0.641,0.711,0.795,0.379,0.568,0.442,0.655,0.279,0.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.08,432.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adamantina (SP),0.721,0.79,0.718,0.772,0.811,0.852,0.644,0.75,0.758,0.833,0.464,0.608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696.1,975.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelândia (GO),0.529,0.702,0.582,0.664,0.712,0.836,0.357,0.622,0.46,0.78,0.215,0.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.33,497.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adolfo (SP),0.667,0.73,0.644,0.71,0.802,0.844,0.574,0.648,0.768,0.788,0.321,0.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.57,661.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrianópolis (PR),0.542,0.667,0.539,0.644,0.748,0.817,0.396,0.563,0.497,0.694,0.252,0.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.71,440.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adustina (BA),0.347,0.546,0.492,0.526,0.584,0.718,0.146,0.432,0.198,0.601,0.08,0.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.39,211.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afogados da Ingazeira (PE),0.518,0.657,0.571,0.623,0.728,0.807,0.335,0.565,0.369,0.669,0.277,0.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.17,386.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afonso Bezerra (RN),0.456,0.585,0.508,0.56,0.675,0.713,0.277,0.502,0.328,0.621,0.198,0.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.57,261.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afonso Cláudio (ES),0.553,0.667,0.612,0.661,0.74,0.825,0.374,0.544,0.471,0.664,0.236,0.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.81,489.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afonso Cunha (MA),0.337,0.529,0.384,0.471,0.595,0.725,0.168,0.434,0.218,0.56,0.099,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.25,149.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afrânio (PE),0.386,0.588,0.461,0.542,0.687,0.761,0.182,0.493,0.258,0.637,0.09,0.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.58,233.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afuá (PA),0.33,0.489,0.468,0.485,0.711,0.774,0.108,0.311,0.131,0.385,0.073,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.25,163.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrestina (PE),0.436,0.592,0.534,0.581,0.657,0.76,0.237,0.47,0.323,0.595,0.128,0.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.12,297.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricolândia (PI),0.447,0.599,0.428,0.55,0.672,0.742,0.31,0.526,0.356,0.633,0.234,0.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.07,245.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrolândia (SC),0.593,0.725,0.633,0.727,0.76,0.827,0.433,0.633,0.56,0.745,0.258,0.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.89,739.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agronômica (SC),0.602,0.741,0.668,0.774,0.805,0.884,0.405,0.595,0.559,0.739,0.212,0.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511.95,985.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Água Azul do Norte (PA),0.376,0.564,0.565,0.563,0.679,0.797,0.139,0.399,0.16,0.505,0.106,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.22,266.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Água Boa (MG),0.451,0.576,0.548,0.594,0.702,0.799,0.238,0.403,0.314,0.514,0.136,0.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.11,322.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Água Boa (MT),0.603,0.729,0.718,0.723,0.735,0.829,0.416,0.646,0.478,0.725,0.314,0.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695.97,720.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Água Branca (AL),0.392,0.549,0.459,0.527,0.675,0.728,0.195,0.432,0.239,0.566,0.129,0.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.86,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Água Branca (PB),0.415,0.572,0.466,0.542,0.606,0.712,0.253,0.484,0.333,0.616,0.146,0.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.3,233.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Água Branca (PI),0.506,0.639,0.518,0.6,0.679,0.763,0.368,0.569,0.436,0.659,0.263,0.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.45,335.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Água Clara (MS),0.534,0.67,0.669,0.705,0.771,0.823,0.295,0.518,0.35,0.603,0.21,0.382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513.9,642.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Água Comprida (MG),0.604,0.675,0.67,0.719,0.82,0.86,0.401,0.498,0.446,0.617,0.323,0.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517.02,701.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Água Doce do Maranhão (MA),0.293,0.5,0.4,0.494,0.576,0.697,0.109,0.363,0.169,0.505,0.045,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.12,172.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Água Doce do Norte (ES),0.527,0.652,0.555,0.619,0.719,0.819,0.366,0.546,0.451,0.681,0.242,0.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.68,377.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Água Doce (SC),0.627,0.698,0.689,0.724,0.794,0.82,0.45,0.574,0.555,0.68,0.296,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581.61,722.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Água Fria (BA),0.382,0.55,0.427,0.529,0.627,0.747,0.208,0.422,0.299,0.519,0.101,0.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.81,215.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Água Fria de Goiás (GO),0.481,0.671,0.599,0.672,0.742,0.817,0.25,0.55,0.332,0.677,0.141,0.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.03,525.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguaí (SP),0.642,0.715,0.697,0.703,0.801,0.858,0.473,0.606,0.565,0.69,0.332,0.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610.66,636.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Água Limpa (GO),0.585,0.722,0.639,0.691,0.758,0.821,0.414,0.663,0.508,0.797,0.274,0.459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.11,591.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguanil (MG),0.574,0.663,0.637,0.672,0.798,0.845,0.373,0.513,0.5,0.638,0.207,0.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.84,524.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Água Nova (RN),0.411,0.616,0.409,0.527,0.652,0.776,0.26,0.572,0.314,0.67,0.179,0.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.84,212.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Água Preta (PE),0.388,0.553,0.46,0.514,0.677,0.761,0.188,0.432,0.2,0.521,0.165,0.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.69,195.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Água Santa (RS),0.63,0.75,0.645,0.84,0.841,0.85,0.461,0.59,0.647,0.733,0.234,0.382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.3,1491.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Águas Belas (PE),0.358,0.526,0.45,0.546,0.578,0.691,0.176,0.385,0.204,0.484,0.132,0.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.78,239.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Águas da Prata (SP),0.692,0.781,0.714,0.75,0.807,0.886,0.575,0.716,0.691,0.814,0.399,0.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680.16,853.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Águas de Chapecó (SC),0.582,0.713,0.672,0.712,0.782,0.811,0.375,0.629,0.516,0.781,0.198,0.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522.53,673.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Águas de Lindóia (SP),0.695,0.745,0.741,0.725,0.842,0.846,0.539,0.675,0.671,0.776,0.348,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805.89,730.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Águas de Santa Bárbara (SP),0.668,0.757,0.697,0.744,0.831,0.84,0.515,0.695,0.598,0.778,0.381,0.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612.97,818.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Águas de São Pedro (SP),0.791,0.854,0.867,0.849,0.87,0.89,0.657,0.825,0.698,0.864,0.582,0.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1759.76,1580.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Águas Formosas (MG),0.508,0.645,0.537,0.624,0.711,0.811,0.344,0.531,0.425,0.638,0.226,0.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.06,389.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Águas Frias (SC),0.6,0.745,0.663,0.728,0.769,0.86,0.423,0.661,0.633,0.821,0.189,0.428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.34,743.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Águas Lindas de Goiás (GO),0.497,0.686,0.583,0.647,0.762,0.848,0.277,0.588,0.29,0.646,0.254,0.488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.59,449.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Águas Mornas (SC),0.57,0.723,0.622,0.731,0.809,0.853,0.368,0.606,0.505,0.756,0.195,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.13,754.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Águas Vermelhas (MG),0.466,0.601,0.509,0.586,0.702,0.808,0.283,0.458,0.383,0.588,0.154,0.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.5,306.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agudo (RS),0.593,0.694,0.68,0.752,0.803,0.847,0.382,0.524,0.488,0.611,0.234,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.66,861.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agudos do Sul (PR),0.513,0.66,0.584,0.671,0.704,0.79,0.329,0.543,0.394,0.658,0.23,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.22,519.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agudos (SP),0.669,0.745,0.674,0.705,0.777,0.845,0.573,0.694,0.66,0.769,0.432,0.566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530.21,642.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Águia Branca (ES),0.539,0.678,0.6,0.66,0.692,0.792,0.377,0.595,0.458,0.738,0.255,0.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.79,487.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguiarnópolis (TO),0.466,0.657,0.513,0.618,0.666,0.804,0.297,0.571,0.378,0.635,0.184,0.461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.86,374.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguiar (PB),0.392,0.597,0.429,0.632,0.619,0.753,0.226,0.447,0.289,0.591,0.138,0.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.43,407.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aimorés (MG),0.593,0.684,0.609,0.685,0.783,0.81,0.437,0.576,0.533,0.683,0.294,0.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.63,567.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiquara (BA),0.436,0.583,0.505,0.573,0.628,0.733,0.261,0.471,0.347,0.562,0.147,0.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.75,283.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiuaba (CE),0.365,0.569,0.404,0.518,0.616,0.749,0.196,0.474,0.287,0.624,0.091,0.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.06,200.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiuruoca (MG),0.55,0.668,0.647,0.677,0.787,0.871,0.327,0.505,0.407,0.633,0.211,0.322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.77,539.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajuricaba (RS),0.646,0.753,0.653,0.763,0.804,0.85,0.513,0.658,0.673,0.806,0.298,0.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466.14,925.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alagoa Grande (PB),0.426,0.582,0.504,0.576,0.684,0.797,0.224,0.43,0.279,0.545,0.145,0.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.01,287.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alagoa (MG),0.542,0.649,0.572,0.634,0.776,0.832,0.358,0.518,0.494,0.69,0.188,0.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.33,413.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alagoa Nova (PB),0.389,0.576,0.486,0.567,0.637,0.749,0.19,0.451,0.249,0.574,0.11,0.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.27,272.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alagoinha do Piauí (PI),0.368,0.531,0.516,0.535,0.62,0.716,0.156,0.391,0.215,0.528,0.082,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.96,222.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
